name,Age,G,GS,MP,FG,FGA,FGP,Three_P,Three_PA,Three_PP,Two_P,Two_PA,Two_PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,place,team,team_abbr
Andrea Bargnani,24,80,80,2799,537,1143,0.47,121,325,0.372,416,818,0.509,0.523,181,234,0.774,105,388,493,93,25,111,120,215,1376,2010,Toronto,Raptors,TOR
Chris Bosh,25,70,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678,2010,Toronto,Raptors,TOR
Hedo Türkoğlu,30,74,69,2272,276,674,0.409,108,289,0.374,168,385,0.436,0.49,175,226,0.774,42,301,343,304,55,32,125,220,835,2010,Toronto,Raptors,TOR
Jarrett Jack,26,82,43,2243,323,671,0.481,82,199,0.412,241,472,0.511,0.542,203,241,0.842,30,192,222,413,60,6,163,151,931,2010,Toronto,Raptors,TOR
José Calderón,28,68,39,1817,274,568,0.482,68,171,0.398,206,397,0.519,0.542,83,104,0.798,23,119,142,404,47,7,99,135,699,2010,Toronto,Raptors,TOR
DeMar DeRozan,20,77,65,1664,255,512,0.498,4,16,0.25,251,496,0.506,0.502,148,194,0.763,66,157,223,53,43,18,62,176,662,2010,Toronto,Raptors,TOR
Amir Johnson,22,82,5,1453,208,334,0.623,0,4,0.0,208,330,0.63,0.623,95,149,0.638,154,241,395,48,44,66,63,255,511,2010,Toronto,Raptors,TOR
Antoine Wright,25,67,10,1392,162,399,0.406,58,173,0.335,104,226,0.46,0.479,53,77,0.688,38,152,190,71,30,11,58,134,435,2010,Toronto,Raptors,TOR
Sonny Weems,23,69,19,1368,236,458,0.515,2,15,0.133,234,443,0.528,0.517,44,64,0.688,42,150,192,101,39,25,65,126,518,2010,Toronto,Raptors,TOR
Marco Belinelli,23,66,1,1121,154,379,0.406,60,158,0.38,94,221,0.425,0.485,101,121,0.835,14,81,95,89,42,5,60,80,469,2010,Toronto,Raptors,TOR
Rasho Nesterović,33,42,8,413,81,149,0.544,0,0,0.0,81,149,0.544,0.544,1,5,0.2,37,52,89,25,10,17,16,54,163,2010,Toronto,Raptors,TOR
Reggie Evans,29,28,1,311,34,69,0.493,0,0,0.0,34,69,0.493,0.493,27,60,0.45,30,75,105,8,14,4,22,44,95,2010,Toronto,Raptors,TOR
Marcus Banks,28,22,0,244,39,73,0.534,7,24,0.292,32,49,0.653,0.582,24,29,0.828,3,20,23,26,12,2,20,30,109,2010,Toronto,Raptors,TOR
